52.0,"Addressee: A Church Member, at church","Hey, it’s great to see you here this morning! How have you been lately?",Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Casual: 해,Casual: 해,Casual: 해,Casual: 해,Casual: 해
53.0,"Addressee: A Church Member, at church",I really enjoyed the sermon today; it gave me a lot to think about.,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Polite: 해요,Casual: 해,Deferential: 합니다/하십시오,Polite: 해요,Polite: 해요
54.0,"Addressee: A Church Member, at church",Do you want to grab a coffee after the service and catch up?,Polite: 해요,Casual: 해,Polite: 해요,Polite: 해요,Polite: 해요,,,,Casual: 해,Polite: 해요,Casual: 해,Casual: 해,Polite: 해요
,"Addressee: A Church Member, at church",Is there a sign-up sheet for the outreach next weekend?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I liked the worship set; the last song really spoke to me.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Have you been part of a small group around here?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Could you point me to the fellowship hall?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Would you mind saving a seat while I grab some coffee?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Are there any volunteer needs for the media team?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m new to this area and still learning names.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you have any recommendations for a Bible study during the week?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",That passage in Romans hit home for me today.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Is there a way to get updates about upcoming events?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I appreciate how welcoming everyone has been.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you know where the nursery check-in is?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’d love to help with set-up if you need extra hands.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",How long have you been attending here?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",The choir sounded amazing this morning.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you know who coordinates the prayer chain?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m hoping to get baptized later this year.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Is the communion gluten-free option available today?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I plan to bring a friend next Sunday.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Could you introduce me to the small group leader?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",That testimony was really encouraging.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you know the best place to park for the evening service?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m trying to memorize that memory verse from the bulletin.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Is there a men’s study starting soon?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’d love to hear how you got involved here.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you need help stacking chairs after the gathering?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",The kids’ program looks really well organized.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Are there any mission trips planned this summer?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m praying about where to serve and could use advice.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Could you share the church app link with me?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I appreciate the way the pastor explained that passage.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you know if the youth group needs mentors?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m grateful for the sense of community here.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Is there a place to submit a prayer request?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’d like to join the usher team if there’s room.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you know the schedule for the midweek service?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",That hymn brought back a lot of memories.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m excited to grow alongside everyone here.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Could you help me find the classroom for the study?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Are there any opportunities to serve in the neighborhood?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m thankful for the encouragement I’ve received today.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Do you need any help in the kitchen after the potluck?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’d love to connect over coffee sometime this week.,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",Is there childcare during the evening Bible study?,,,,,,,,,,,,,
,"Addressee: A Church Member, at church",I’m interested in learning more about membership.,,,,,,,,,,,,,
